Port_Name,also_known_as,opened_in,constructed_by,operated_by,owned_by,location,country,lat,lon,type_of_harbor,size_of_harbor,land_area,available_berths,wharfs,chairman,main_trades,major_exports,major_imports,source_name,source_url,source_date,state
Mandvi,,,,,,Gujrat,India,22.8227,69.3496,,,,,,,,,,,,,Gujarat
Navlakhi,,,,,,Gujrat,India,22.9574,70.4529,,,,,,,,,,,,,Gujarat
Bedi,,,,,,Gujrat,India,22.501430555555554,70.04363055555555,,,,,,,,,,,,,Gujarat
Sikka,,,,,,Gujrat,India,22.432180555555558,69.84158055555555,,,,,,,,,,,https://latitude.to/map/in/india/cities/sikka,,Gujarat
Jafarabad,,,,,,Gujrat,India,20.865555555555556,71.36388888888888,,,,,,,,,,,https://gmbports.org/jafrabad-port,,Gujarat
Okha,,,,,,Gujrat,India,22.4667,69.0833,,,,,,,,,,,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://latitude.to/articles-by-country/in/india/132443/okha-port&ved=2ahUKEwjcqr_MttORAxUtTGwGHZ3mCioQFnoECC4QAQ&usg=AOvVaw3d_-C5gS7ORx6b8zp6o4hJ,,Gujarat
Porbandar,,,,,,Gujrat,India,21.6214,69.5887,,,,,,,,,,,,,Gujarat
Bhavnagar,,,,,,Gujrat,India,21.7669,72.2308,,,,,,,,,,,,,Gujarat
Bharuch,,,,,,Gujrat,India,21.712,72.993,,,,,,,,,,,,,Gujarat
Magdalla,,,,,,Gujrat,India,21.13888888888889,72.73555555555555,,,,,,,,,,,,,Gujarat
Koteshwar,,,,,,Gujrat,India,23.7,68.53,,,,,,,,,,,,,Gujarat
Jakhau,,,,,,Gujrat,India,23.24,68.61,,,,,,,,,,,,,Gujarat
Jodia,,,,,,Gujrat,India,22.7239,70.279,,,,,,,,,,,,,Gujarat
Salaya,,,,,,Gujrat,India,22.31,69.6,,,,,,,,,,,,,Gujarat
Pindhara,,,,,,Gujrat,India,22.3166,69.2333,,,,,,,,,,,,,Gujarat
Beyt,"Beyt Dwarka (or Bet Dwarka), ",,,,,Gujrat,India,22.449444444444445,69.11722222222221,a significant island port,,,,,,,,,,,,Gujarat
Rupen,,,,,,Gujrat,India,23.460833333333333,71.46666666666667,,,,,,,,,,,,,Gujarat
Mangrol ,,,,,,Gujrat,India,21.10888888888889,70.10694444444444,,,,,,,,,,,,,Gujarat
Madhawad,Madhavad,,,,,Gujrat,India,20.68983888888889,70.82705,,,,,,,,,,,,,Gujarat
Navabandar,,,,,,Gujrat,India,20.742222222222225,71.08138888888888,,,,,,,,,,,,,Gujarat
Rajpara,"Port Rajpara"" in Gujarat; you might be thinking of Navlakhi Port ",,,,,Gujrat,India,22.85,70.79,,,,,,,,,,,,,Gujarat
Mahuva,,,,,,Gujrat,India,21.07,72.15,,,,,,,,,,,,,Gujarat
Talaja,,,,,,Gujrat,India,21.7,72.1,,,,,,,,,,,,,Gujarat
Ghogha,,,,,,Gujrat,India,21.688055555555557,72.2761111111111,,,,,,,,,,,,,Gujarat
Dahej,,,,,,Gujrat,India,21.7132,72.5843,,,,,,,,,,,,,Gujarat
Bhagwa,,,,,,Gujrat,India,21.36,72.65,,,,,,,,,,,,,Gujarat
Onjal,,,,,,Gujrat,India,20.8234,72.8427,,,,,,,,,,,,,Gujarat
Vansi-Borsi ,,,,,,Gujrat,India,20.93,72.77,,,,,,,,,,,,,Gujarat
Billimora,,,,,,Gujrat,India,20.75,72.95,,,,,,,,,,,,,Gujarat
Valsad,,,,,,Gujrat,India,20.5,73.0833,,,,,,,,,,,,,Gujarat
Umarsadi,,,,,,Gujrat,India,20.51222222222222,72.89750000000001,,,,,,,,,,,,,Gujarat
Maroli,,,,,,Gujrat,India,21.0243434,72.8899466,,,,,,,,,,,https://mu.utc.city/1010362,,Gujarat
Umergaon,,,,,,Gujrat,India,20.174444444444447,72.76722222222222,,,,,,,,,,,,,Gujarat
Dahanu,,,,,,Maharashtra,India,19.9666,72.8,,,,,,,,,,,,,Maharashtra
Nawapur,,,,,,Maharashtra,India,21.1616527,73.7946403,,,,,,,,,,,,,Maharashtra
Satpati,Satpati is a significant fishing village located in the Palghar district,,,,,Maharashtra,India,19.725,72.7023,,,,,,,,,,,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://shipoffer.vn/11378a0c-5d95-40e8-8237-bdb10f506739/port-information&ved=2ahUKEwj7kIOsvtWRAxX8XmwGHfpsIFYQFnoECBoQAQ&usg=AOvVaw0a0ZGQuaZiV26S0g8vMt8i,,Maharashtra
Arnala,(Arnala Fort/Island,,,,,Maharashtra,India,19.465833333333332,72.7325,,,,,,,,,,,,,Maharashtra
Datiware,JNPT (Nhava Sheva),,,,,Maharashtra,India,19.0,72.92,,,,,,,,,,,,,Maharashtra
Bhiwandi,,,,,,Maharashtra,India,19.29,73.05,,,,,,,,,,,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.mapsofindia.com/lat_long/maharashtra/bhiwandi.html&ved=2ahUKEwjqzY3awtWRAxVK7jgGHRcNBFUQFnoECB8QAQ&usg=AOvVaw12VIB3H8drpyh4QvnBPMSG,,Maharashtra
Manori ,Manori Creek area,,,,,Maharashtra,India,19.2,72.8,,,,,,,,,,,,,Maharashtra
Kalyan,"Ulhas River, Thane District, Maharashtra.",,,,,Maharashtra,India,19.240000000000002,73.13,,,,,,,,,,,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.latlong.net/poi/kalyan-473417&ved=2ahUKEwjC0d-9w9WRAxVQxDgGHZDtBFsQFnoECBwQAQ&usg=AOvVaw2Dhcb2utXaV6yyEm6f4xbN,,Maharashtra
Thane,"Thane Coast,"" ""Vasai Creek,"" or ""Palghar Maharashtra""",,,,,Maharashtra,India,19.5,72.8,,,,,,,,,,,"https://www.google.com/url?sa=i&source=web&rct=j&url=https://thane.nic.in/en/district-profile-new/%23:~:text%3DThane%2520District%2520forms%2520a%2520part,line%2520of%2520about%2520113%2520Kms.&ved=2ahUKEwjwwa3iw9WRAxWPyzgGHW7uGDYQqYcPegQIBhAC&opi=89978449&cd&psig=AOvVaw39sLkvJ9rQuHVChy9eTqGw&ust=1766641820156000",,Maharashtra
